Date,Open,High,Low,Close,Volume
07/02/2024,"461.51","466.27","459.60","465.61","1,491,787"
07/01/2024,"454.51","464.02","454.01","463.66","1,850,463"
06/28/2024,"450.10","457.34","449.53","452.32","3,839,657"
06/27/2024,"449.78","449.78","442.80","445.96","2,835,198"
06/26/2024,"455.41","457.93","452.45","455.86","2,131,737"
06/25/2024,"459.46","464.08","456.75","457.38","1,633,414"
06/24/2024,"451.25","463.52","450.00","462.09","1,882,184"
06/21/2024,"458.68","458.80","449.90","450.18","3,919,230"
06/20/2024,"458.00","460.41","455.24","458.05","2,080,573"
06/18/2024,"449.57","457.69","448.51","457.43","1,798,377"
06/17/2024,"445.10","450.78","443.39","450.18","1,531,648"
06/14/2024,"441.99","448.23","439.15","446.46","1,559,064"
06/13/2024,"446.73","448.32","442.15","446.35","1,849,094"
06/12/2024,"455.60","457.64","446.19","448.70","1,733,049"
06/11/2024,"451.04","451.86","443.38","444.27","1,938,237"
06/10/2024,"452.33","455.36","450.30","453.55","1,698,631"
06/07/2024,"455.44","461.16","454.50","454.91","1,736,189"
06/06/2024,"461.82","464.52","457.01","458.10","1,597,964"
06/05/2024,"457.55","463.02","457.50","461.68","1,678,887"
06/04/2024,"450.50","457.71","449.21","455.30","1,834,972"
